,tweet_id,sentiment,content,processed_corpus
70,1956983931,neutral,I cant give @jertronic any bday nudges.,"['cant', 'give', 'jertronic', 'bday', 'nudge']"
72,1956984205,neutral,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,"['Brothers', 'Bloom', 'wo', ""n't"", 'opening', 'weekend', 'El', 'Paso', ""'ll"", 'buy', 'Brick', 'enjoy', 'watch', 'Brothers', 'Bloom']"
73,1956984559,neutral,says I miss plurking.  http://plurk.com/p/wxion,"['say', 'miss', 'plurking', 'http', '//plurk.com/p/wxion']"
75,1956984894,neutral,I miss Voobys!,"['miss', 'Voobys']"
76,1956985129,neutral,@Dancing_Monk Neither are ELP!!,"['Dancing_Monk', 'Neither', 'ELP']"
81,1956985973,neutral,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,"['mix', 'dentist', 'appt', 'afternoon', 'rescheduled', 'tomorrow', '9am']"
90,1956988145,neutral,@lepetitagneau what's going on sweetheart?,"['lepetitagneau', ""'s"", 'going', 'sweetheart']"
91,1956988218,neutral,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows","['freaking', 'difficult', 'get', 'system-wide', 'spellchecker', 'Shit', ""'d"", 'settle', 'office', 'suite', 'one', 'Stupid', 'unhelpful', 'Windows']"
93,1956988477,neutral,@willxxmobb work at 6am. Gotta go to bed soon,"['willxxmobb', 'work', '6am', 'Got', 'ta', 'go', 'bed', 'soon']"
98,1956989561,neutral,PrinceCharming,['PrinceCharming']
102,1956990413,neutral,Oh is that time for real?,"['Oh', 'time', 'real']"
111,1956992349,neutral,@justamedicine  That was stone cold   Crazy....  ?,"['justamedicine', 'stone', 'cold', 'Crazy', '....']"
113,1956993080,neutral,shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo,"['shift', 'time', 'bbye', 'biochem', 'waaaaahhhhhh', 'http', '//plurk.com/p/wxizo']"
114,1956993206,neutral,@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight.,"['melbournegirl', ""'m"", 'sure', 'some1', 'cum', 'play', ""'m"", 'workin', 'til', 'midnight']"
115,1956994067,neutral,@thecreativeone I second that. I wish it rained more where I am,"['thecreativeone', 'second', 'wish', 'rained']"
117,1956995505,neutral,damn it were is Eric or anyone else when you need your hair to be played with,"['damn', 'Eric', 'anyone', 'else', 'need', 'hair', 'played']"
118,1956995679,neutral,I'm feel deflated. Ugh. No more dog.,"[""'m"", 'feel', 'deflated', 'Ugh', 'dog']"
120,1956995852,neutral,Well it almost was a good day... Guess I just retry tomorrow,"['Well', 'almost', 'good', 'day', '...', 'Guess', 'retry', 'tomorrow']"
128,1956997143,neutral,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.,"['megturney', 'well', 'ran', 'beer', 'left', 'sure', 'ETA', 'Waiting', 'waiting', 'waiting', 'Bleh', 'Gon', 'na', 'long', 'nite', 'methinks']"
130,1956997619,neutral,"claire @breakfastnt love the show, got into the office @ 5am and no radio","['claire', 'breakfastnt', 'love', 'show', 'got', 'office', '5am', 'radio']"
133,1956998538,neutral,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.,"['focused', 'Tom', 'much', ""n't"", 'see', 'beloved', 'Barack', 'Oh', 'must', 'vote', 'Poor', 'president', '626', 'vote']"
134,1956998698,neutral,@jwillock EpiCentre Wheelock Place - tourists only..,"['jwillock', 'EpiCentre', 'Wheelock', 'Place', 'tourist', '..']"
137,1957000077,neutral,miss 16'th,"['miss', ""16'th""]"
138,1957000152,neutral,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff.","['TheHarvardian', 'know', 'like', 'said', 'idea', 'long', 'take', 'investigate', 'stuff']"
140,1957000314,neutral,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby,"['LaFloozita', 'http', '//twitpic.com/4phze', 'Awe', 'miss', 'baby']"
142,1957000372,neutral,what is it with chocolates? i just can never say no,"['chocolate', 'never', 'say']"
144,1957001049,neutral,@ether_radio i'm too awake now  ill have a nap this afternoon,"['ether_radio', ""'m"", 'awake', 'ill', 'nap', 'afternoon']"
146,1957001496,neutral,still needs another 6 hours of sleep,"['still', 'need', 'another', 'hour', 'sleep']"
149,1957001967,neutral,"Morning tweeple,way to early again","['Morning', 'tweeple', 'way', 'early']"
156,1957003715,neutral,"where are all ma bestfriends at ? , MIA or wat ?","['bestfriends', 'MIA', 'wat']"
169,1957006074,neutral,fun in the sun hmmm hell no it's cold,"['fun', 'sun', 'hmmm', 'hell', ""'s"", 'cold']"
175,1957006725,neutral,@juneyee i don't think so.  I WANT DETAILS.,"['juneyee', ""n't"", 'think', 'WANT', 'DETAILS']"
176,1957006830,neutral,@jackgraycnn Hi...!!! Who is Mary Poppins???,"['jackgraycnn', 'Hi', '...', 'Mary', 'Poppins']"
178,1957007167,neutral,my last tweet didn't send  bad phone,"['last', 'tweet', ""n't"", 'send', 'bad', 'phone']"
181,1957007394,neutral,@taxidermi  I was watching Parental Control,"['taxidermi', 'watching', 'Parental', 'Control']"
205,1957013149,neutral,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!,"['rlcpbiatch', 'happy', 'birthdayyy', 'hope', 'awesome', 'day', ""n't"", 'see', 'next', 'last', 'night']"
207,1957013488,neutral,@aiderushton ill be over in an oir,"['aiderushton', 'ill', 'oir']"
208,1957013697,neutral,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am,"['only1kcj', 'guess', 'go', 'girlie', ""'m"", 'still', 'gym', 'work', '6:30am']"
217,1957014517,neutral,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down,"['juiceegapeach', 'hungry', 'fool', 'Ill', 'probably', 'never', 'see', 'Krispy', 'Kreme', 'enjoy', 'closing']"
218,1957014653,neutral,@yelgiuQnayR airport? and you didnt show up tonight homo!,"['yelgiuQnayR', 'airport', 'didnt', 'show', 'tonight', 'homo']"
220,1957015287,neutral,@MrRathbone what about me,['MrRathbone']
221,1957015475,neutral,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking","['Looking', 'desktop', 'twitter', 'app', 'actually', 'let', 'access', 'URLs', 'suggestion', 'liked', 'Twittle', 'linking']"
224,1957016169,neutral,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry,"['lizzziemonster', 'amp', 'jamiejamess', 'soooo', 'hungry']"
231,1957017333,neutral,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.,"['back', 'school', 'Ms', 'Suhana', ""'s"", 'last', 'day', 'FT', 'OCU', 'okay', ""'m"", 'playing', 'ALTNOY']"
232,1957017486,neutral,@ poll : was trying to get it to work in a powerpoint to no avail.,"['poll', 'trying', 'get', 'work', 'powerpoint', 'avail']"
235,1957017610,neutral,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!","['livestrongnj', 'yeah', ""'s"", 'terrible', 'cockatoo', 'hardest', 'live', 'emotional', 'good', 'thing', 'found', 'though']"
240,1957019121,neutral,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out.","['Nymo', 'would', 'better', 'IMO', 'let', 'play', 'song', 'provided', 'start', 'quot', 'get', 'quot', 'black']"
241,1957019458,neutral,#3wordsaftersex it never started...,"['3wordsaftersex', 'never', 'started', '...']"
248,1957020593,neutral,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well","['friend', 'like', 'VaikO', 'Nedumaran', 'LTTE', ""n't"", 'need', 'enemy', 'Wrong', 'advice', 'wrong', 'time', 'led', 'numerous', 'death', 'amp', 'lost', 'cause', 'well']"
251,1957020861,neutral,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only","['looove', 'guitar', 'playing', 'think', 'sound', 'magnificent', 'better', '...']"
253,1957021224,neutral,@mysticnz no im not  cries LOL,"['mysticnz', 'im', 'cry', 'LOL']"
257,1957021631,neutral,Come on Knight... It's been well over 4 hours,"['Come', 'Knight', '...', ""'s"", 'well', 'hour']"
264,1957023842,neutral,twittascope is NOT rocking my socks - go away already!!,"['twittascope', 'rocking', 'sock', 'go', 'away', 'already']"
265,1957023917,neutral,Driving Back home because I forgot the piece of cake for @v_era,"['Driving', 'Back', 'home', 'forgot', 'piece', 'cake', 'v_era']"
271,1957027687,neutral,@koifusionpdx i was so close to the tacos...one spot too late,"['koifusionpdx', 'close', 'taco', '...', 'one', 'spot', 'late']"
279,1957029899,neutral,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home,"['jennyvokals', 'girl', 'blunt', 'soooooooo', 'thought', 'right', 'absolutly', 'GREAT', 'day', 'stressor', '...', 'come', 'home']"
282,1957030596,neutral,@passingcarss i wont have time to buy  and i need a new binder pa,"['passingcarss', 'wont', 'time', 'buy', 'need', 'new', 'binder', 'pa']"
284,1957030793,neutral,25-man Ulduar is hard...,"['25-man', 'Ulduar', 'hard', '...']"
287,1957032014,neutral,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD],"['night', 'night', 'twitter', 'world', 'still', 'cant', 'believe', 'thomas', 'thing', 'tomorrow', ""'s"", 'gunna', 'FUN/SAD']"
288,1957032051,neutral,@princess_oats this is happening to me too,"['princess_oats', 'happening']"
290,1957032127,neutral,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk","['oxygen8705', 'bored', 'talking', 'someone', ""'re"", 'busy', 'something', 'else', 'kinda', 'bummer', 'idk']"
295,1957033219,neutral,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.,"['ugh', '..', 'dad', 'told', 'read', 'article', 'Kavya', 'Shivashankar', 'spellin', 'bee', 'girl', '..', 'like']"
298,1957033815,neutral,@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30,"['ThaBillCollecta', 'YEA', 'GOT', 'TA', '7:30']"
303,1957034434,neutral,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips","['one', 'sale', 'done', 'today', 'work', 'Explored', 'balcony', 'big', 'theater', 'w', 'coworkers', 'fun', 'day', 'void', 'chili', 'fry', 'tip']"
305,1957034940,neutral,@sillybabyjulie me too,['sillybabyjulie']
306,1957034983,neutral,@digenis that story reminds of living in Portugal,"['digenis', 'story', 'reminds', 'living', 'Portugal']"
307,1957035419,neutral,"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?","['jhicks', 'youre', 'diabetic', 'dad', 'amp', 'might', 'sure', 'still', 'allowed', 'eat', 'sugar', 'throughout', 'day']"
310,1957036183,neutral,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.,"['SuperFiasco', ""'ll"", 'make', 'nacho', 'tomorrow', 'Better', 'would', 'made']"
311,1957037405,neutral,@MyDailyRoutine yeahhh. &amp;dont judge my pillow,"['MyDailyRoutine', 'yeahhh', 'amp', 'dont', 'judge', 'pillow']"
322,1957039841,neutral,"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night","['Giggles_xo', 'wicked', 'time', 'leaving', 'come', 'cant', 'stay', 'night']"
330,1957041648,neutral,@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product,"['the_babsi', ""'s"", 'manual', 'process', '...', ""'s"", 'taking', '4ever', 'outlook', 'database', '...', 'pffff', 'crappy', 'msft', 'product']"
341,1957042799,neutral,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,"['OH', 'NEVERMIND', 'THINK', 'THING', 'UNSALVAGEABLE']"
342,1957042862,neutral,"lyin in bed, up faaaaar too early","['lyin', 'bed', 'faaaaar', 'early']"
348,1957044783,neutral,When will Medhurst play again?,"['Medhurst', 'play']"
352,1957045641,neutral,@duncm I'm a bit Ben's Thai-ed out,"['duncm', ""'m"", 'bit', 'Ben', ""'s"", 'Thai-ed']"
355,1957046053,neutral,@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?,"['dmoneymania', ""'m"", 'sorry', 'Excited', 'tomorrow', 'night', 'Karaoke', 'Getting', 'anything', 'special', 'bday']"
358,1957046815,neutral,in 7-11  w/o you,"['7-11', 'w/o']"
359,1957047408,neutral,"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi","['becjee', 'Yeah', 'plus', ""'s"", 'little', 'far', 'walk', 'Pinocchio', ""'s"", 'sushi']"
373,1957052167,neutral,@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!,"['brettyrocks', 'thats', 'thinking', 'time', ""'s"", 'gon', 'na']"
374,1957052211,neutral,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her","['Peeps', 'still', 'Fun', 'time', 'Got', 'ta', 'sleep', 'tho', 'Work', 'A.M', 'cool', 'hot', 'chick', 'none', 'cool', '____________', 'Missing']"
378,1957053247,neutral,Counting the hours of lost sunshine until the Weekend,"['Counting', 'hour', 'lost', 'sunshine', 'Weekend']"
383,1957055396,neutral,good morning work this morning gutted lol nevermind,"['good', 'morning', 'work', 'morning', 'gutted', 'lol', 'nevermind']"
387,1957056041,neutral,@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble,"['Deedubau', 'hahaha', ""n't"", 'know', 'anyone', 'anything', 'except', 'power', 'lol', '...', 'live', 'bubble']"
391,1957057586,neutral,"love is like a war,,easy to begin, hard to end..fiuuhh...","['love', 'like', 'war', ',easy', 'begin', 'hard', 'end', '..', 'fiuuhh', '...']"
398,1957059671,neutral,Ready To Go @ School,"['Ready', 'Go', 'School']"
400,1957060283,neutral,@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today,"['Richard_Gable', ""'s"", 'good', ""n't"", 'holiday', 'chalet', 'sight', 'look', 'v', 'similar', 'one', 'Going', 'home', 'today']"
420,1957065963,neutral,@nayRyelgiuQ airport? and you didnt show up tonight homo!,"['nayRyelgiuQ', 'airport', 'didnt', 'show', 'tonight', 'homo']"
423,1957067386,neutral,@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:,"['avalonabsinthe', 'Come', 'erock', 'left', 'bah']"
427,1957068585,neutral,for the gays i only made 200 tonight,"['gay', 'made', '200', 'tonight']"
431,1957070484,neutral,"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing","['dravenreborn', 'bet', 'cool', 'SR', 'huh', ""'s"", ""n't"", 'stopped', 'sweating', 'since', 'noon', 'dad', 'packing']"
434,1957070871,neutral,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,"['decided', 'trans', 'frm', 'relaxed', 'natural', 'hair', 'wish', 'whole', 'head', 'looked', 'like', 'root', 'Age', 'instant', 'gratification', '....']"
436,1957071583,neutral,needs to have an increase on her salary  http://plurk.com/p/wxluu,"['need', 'increase', 'salary', 'http', '//plurk.com/p/wxluu']"
449,1957074267,neutral,the week just wasnt the same without an adam lambert performance!!!,"['week', 'wasnt', 'without', 'adam', 'lambert', 'performance']"
450,1957074812,neutral,@rockingjude The link doesn't work,"['rockingjude', 'link', ""n't"", 'work']"
452,1957075035,neutral,"GOSSIP GIRL, WHEN ARE YOU COMING BACK  ! chaceeeeeee..","['GOSSIP', 'GIRL', 'COMING', 'BACK', 'chaceeeeeee', '..']"
453,1957075180,neutral,Smh @ hiphop nursery rhymes,"['Smh', 'hiphop', 'nursery', 'rhyme']"
464,1957077528,neutral,"@taylor_d No, it's not...","['taylor_d', ""'s"", '...']"
467,1957077934,neutral,@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it,"['crunchmonkey78', 'well', 'got', 'home', 'till', 'tmw', '530p', 'comcast', 'right', 'didnt', 'miss']"
479,1957080521,neutral,@mousebudden I'ma need you to follow me real quick cause I can't DM you,"['mousebudden', ""I'ma"", 'need', 'follow', 'real', 'quick', 'cause', 'ca', ""n't"", 'DM']"
489,1957082939,neutral,In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu.,"['Hongkong', 'International', 'Airport', 'wait', '3-4', 'hour', 'next', 'flight', 'Cebu']"
490,1957083056,neutral,Can't sleep and nothings on tv!!,"['Ca', ""n't"", 'sleep', 'nothing', 'tv']"
492,1957083230,neutral,@KallieT oh ... you've been superseeded?  not good enough,"['KallieT', 'oh', '...', ""'ve"", 'superseeded', 'good', 'enough']"
500,1957084552,neutral,@dorkydeanna IIII know!!! and mean,"['dorkydeanna', 'IIII', 'know', 'mean']"
503,1957084935,neutral,@BusyGod PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one,"['BusyGod', 'PGPM', 'student', 'PGPM', 'student', 'year', 'back', 'wish', 'could', 'stay', 'one']"
507,1957085406,neutral,back to work.. with no distractions..,"['back', 'work', '..', 'distraction', '..']"
509,1957086150,neutral,awwww  i never noticed this http://bit.ly/RConp,"['awwww', 'never', 'noticed', 'http', '//bit.ly/RConp']"
510,1957086168,neutral,"@heavyharts that sucks  well state starts tomorrow so im headin 2 bed, nitey nite","['heavyharts', 'suck', 'well', 'state', 'start', 'tomorrow', 'im', 'headin', 'bed', 'nitey', 'nite']"
512,1957086920,neutral,@mygoldmask did you guys keep a set list? I forgot to ask for one  xx,"['mygoldmask', 'guy', 'keep', 'set', 'list', 'forgot', 'ask', 'one', 'xx']"
513,1957087043,neutral,"First impression of Silverlight: sadly, based on what I saw today, it's quite problematic","['First', 'impression', 'Silverlight', 'sadly', 'based', 'saw', 'today', ""'s"", 'quite', 'problematic']"
517,1957088016,neutral,"the time you go to bed,  i have to get up to go to work","['time', 'go', 'bed', 'get', 'go', 'work']"
520,1957088340,neutral,"@miss_cheryl Lucky, now I want to teleport","['miss_cheryl', 'Lucky', 'want', 'teleport']"
534,1957091075,neutral,FC is finally up again. it's about time. i hate that this keeps happening,"['FC', 'finally', ""'s"", 'time', 'hate', 'keep', 'happening']"
535,1957091147,neutral,seriously bored without anyone to talk to... but not tired enough for sleep,"['seriously', 'bored', 'without', 'anyone', 'talk', '...', 'tired', 'enough', 'sleep']"
537,1957091357,neutral,@keytar still!! give your computer a break omg,"['keytar', 'still', 'give', 'computer', 'break', 'omg']"
539,1957091954,neutral,where u at?,['u']
545,1957093148,neutral,@Forever_Yours13 I'm not at home with my cats right now!,"['Forever_Yours13', ""'m"", 'home', 'cat', 'right']"
548,1957093807,neutral,Leno's last show was tonight.  I like him better than Conan.,"['Leno', ""'s"", 'last', 'show', 'tonight', 'like', 'better', 'Conan']"
550,1957093924,neutral,@monpio i don't have any of that,"['monpio', ""n't""]"
555,1957095604,neutral,@eCheers Random has an a,"['eCheers', 'Random']"
558,1957096447,neutral,@ddlovato july... too long,"['ddlovato', 'july', '...', 'long']"
561,1957097629,neutral,Wearing glasses gives me a headache.,"['Wearing', 'glass', 'give', 'headache']"
570,1957099757,neutral,"@shanajaca But @feltbeats is on page 6 at Ms Twitterworld, only 26 votes","['shanajaca', 'feltbeats', 'page', 'Ms', 'Twitterworld', '26', 'vote']"
573,1957100351,neutral,sleep....good night tweeties!!! down to OC tomorrow. I hope and pray that Rachyl gets better SOON!!!,"['sleep', '....', 'good', 'night', 'tweeties', 'OC', 'tomorrow', 'hope', 'pray', 'Rachyl', 'get', 'better', 'SOON']"
577,1957101169,neutral,@iceweasel im eating sliders at barjohnnys! (theyre pork tho not beef  still on the search...),"['iceweasel', 'im', 'eating', 'slider', 'barjohnnys', 'theyre', 'pork', 'tho', 'beef', 'still', 'search', '...']"
585,1957103043,neutral,"friday here at last, not much fun when your skint though","['friday', 'last', 'much', 'fun', 'skint', 'though']"
591,1957104581,neutral,I don't think I will be able to get out of bed tomorrow morning  we will seeeee!,"[""n't"", 'think', 'able', 'get', 'bed', 'tomorrow', 'morning', 'seeeee']"
594,1957104858,neutral,the times they are a changing,"['time', 'changing']"
597,1957105525,neutral,@slickiris video is not available to us foreigners,"['slickiris', 'video', 'available', 'u', 'foreigner']"
602,1957106752,neutral,waiting to get picked up!,"['waiting', 'get', 'picked']"
613,1957110716,neutral,"@Giggles_xo   dang it, so its not certain ? ? ? are you okay?","['Giggles_xo', 'dang', 'certain', 'okay']"
614,1957111029,neutral,wishes Dave Gilmour and Roger Waters would re-unite for a Pink Floyd concert,"['wish', 'Dave', 'Gilmour', 'Roger', 'Waters', 'would', 're-unite', 'Pink', 'Floyd', 'concert']"
616,1957111113,neutral,In 1 horse town + 2 blown out car speakers =,"['horse', 'town', 'blown', 'car', 'speaker']"
617,1957111130,neutral,Someone make me a cofffeeeeeee......,"['Someone', 'make', 'cofffeeeeeee', '......']"
621,1957111950,neutral,My nose is stuffy,"['nose', 'stuffy']"
622,1957112500,neutral,last night in newport,"['last', 'night', 'newport']"
626,1957112925,neutral,Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain,"['Aright', 'Twitter', 'Fam', '...', 'guess', 'ima', 'outties', '..', 'gon', 'na', 'try', 'n', 'sleep', 'horrible', 'pain']"
627,1957113207,neutral,Baby was not herself after recieving vaccines,"['Baby', 'recieving', 'vaccine']"
639,1957115198,neutral,watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh.,"['watching', 'Biggest', 'Loser', 'Hallmark', 'Never', 'fails', 'make', 'cry', 'nyeh']"
640,1957115476,neutral,@zaharh that sucks!  how old are you actually?,"['zaharh', 'suck', 'old', 'actually']"
642,1957115742,neutral,Still confuse...,"['Still', 'confuse', '...']"
648,1957116826,neutral,scratch that; sleep on a stage bound.,"['scratch', 'sleep', 'stage', 'bound']"
650,1957117307,neutral,@officialTila I cnt get it!! its goin to ur old messages?!?  &gt;&gt;&gt;&gt; HELP?&lt;&lt;&lt;&lt;,"['officialTila', 'cnt', 'get', 'goin', 'ur', 'old', 'message', 'gt', 'gt', 'gt', 'gt', 'HELP', 'lt', 'lt', 'lt', 'lt']"
652,1957117786,neutral,@laurelexmachina Swimming is a no go for me,"['laurelexmachina', 'Swimming', 'go']"
655,1957118207,neutral,"@duciaestherine ohh ic ic haha, iyaa my summer is filled with ONE Course that lasts for the whole summer","['duciaestherine', 'ohh', 'ic', 'ic', 'haha', 'iyaa', 'summer', 'filled', 'ONE', 'Course', 'last', 'whole', 'summer']"
659,1957119180,neutral,@Joshuah_Pearson,['Joshuah_Pearson']
661,1957119815,neutral,@ccburns Unfortunately not,"['ccburns', 'Unfortunately']"
664,1957120767,neutral,@emlevins,['emlevins']
674,1957122428,neutral,ups ketauan cabut nih gimana dong,"['ups', 'ketauan', 'cabut', 'nih', 'gimana', 'dong']"
681,1957123693,neutral,Off to bed!! Still exhausted from Vegas,"['bed', 'Still', 'exhausted', 'Vegas']"
685,1957124088,neutral,Took a 4 hour nap after work today and won't be able to sleep all night    This is a bummer,"['Took', 'hour', 'nap', 'work', 'today', 'wo', ""n't"", 'able', 'sleep', 'night', 'bummer']"
687,1957125420,neutral,Loving lil ken and absolutely dreading saying goodbye in less than a week,"['Loving', 'lil', 'ken', 'absolutely', 'dreading', 'saying', 'goodbye', 'less', 'week']"
691,1957125863,neutral,HII!! Thatsï¿½meE!! I woke up and I am goinG to SchooL... Why me??,"['HII', 'Thatsï¿½meE', 'woke', 'goinG', 'SchooL', '...']"
695,1957126889,neutral,asks for karma points please.  http://plurk.com/p/wxnt9,"['asks', 'karma', 'point', 'please', 'http', '//plurk.com/p/wxnt9']"
704,1957129667,neutral,L.A. said &quot;wipe the slate clean&quot; before the jelly!,"['L.A.', 'said', 'quot', 'wipe', 'slate', 'clean', 'quot', 'jelly']"
706,1957130295,neutral,@seanpercival Unless that invite comes with a beta key I'm not going to be much help...,"['seanpercival', 'Unless', 'invite', 'come', 'beta', 'key', ""'m"", 'going', 'much', 'help', '...']"
707,1957130303,neutral,@Johnny_Exp not where i live.,"['Johnny_Exp', 'live']"
719,1957132732,neutral,@sha_da_asshole ï¿½ cant im not @ my sister house no ï¿½-net tonite,"['sha_da_asshole', 'ï¿½', 'cant', 'im', 'sister', 'house', 'ï¿½-net', 'tonite']"
720,1957133079,neutral,"Damn, hi Facebook ? what's wrong with you ? can't add photos","['Damn', 'hi', 'Facebook', ""'s"", 'wrong', 'ca', ""n't"", 'add', 'photo']"
722,1957133461,neutral,4 more followers.. follow me and I'll love you!! *pouts* Please?,"['follower', '..', 'follow', ""'ll"", 'love', 'pout', 'Please']"
724,1957133900,neutral,"@textdrivebys i dont even have a WII! b likes xbox, so that's what we have  do you use it?","['textdrivebys', 'dont', 'even', 'WII', 'b', 'like', 'xbox', ""'s"", 'use']"
726,1957134074,neutral,@thunder_express i didnt get to see it tonight,"['thunder_express', 'didnt', 'get', 'see', 'tonight']"
